Sample1	Sample2	Distance	Mismatches
pt60	pt82	4523.00	0.56766
pt60	pt83	5083.00	0.57519
pt60	pt84	4676.00	0.56913
pt60	pt85	4741.00	0.57259
pt60	pt86	4691.00	0.59741
pt60	pt87	329.00	0.10869
pt60	pt88	4688.00	0.60237
pt60	pt90	4901.00	0.58350
pt60	pt91	10418.00	0.56029
pt60	pt92	9071.00	0.50388
pt60	pt93	8876.00	0.57080
pt60	pt94	4431.00	0.59729
pt60	pt95	4968.00	0.59227
pt61	pt62	4565.00	0.56595
pt61	pt63	4895.00	0.56622
pt61	pt64	1.00	0.02244
pt61	pt65	8894.00	0.55765
pt61	pt66	9032.00	0.48055
pt61	pt67	8982.00	0.55388
pt61	pt68	4735.00	0.57303
pt61	pt69	4.00	0.02497
pt61	pt70	4783.00	0.57254
pt61	pt71	10450.00	0.54869
pt61	pt72	4774.00	0.58163
pt61	pt73	9115.00	0.48968
pt61	pt74	3.00	0.02720
pt61	pt75	5.00	0.02238
pt61	pt76	5.00	0.02496
pt61	pt77	56.00	0.28997
pt61	pt78	8987.00	0.55246
pt61	pt79	2.00	0.02165
pt61	pt80	4758.00	0.56637
pt61	pt81	9977.00	0.54639
pt61	pt82	4513.00	0.56953
pt61	pt83	5077.00	0.57711
pt61	pt84	4668.00	0.57140
pt61	pt85	4737.00	0.57507
pt61	pt86	4701.00	0.59574
pt61	pt87	327.00	0.10740
pt61	pt88	4690.00	0.60110
pt61	pt90	4900.00	0.58209
pt61	pt91	10437.00	0.55932
pt61	pt92	9090.00	0.50274
pt61	pt93	8891.00	0.56966
pt61	pt94	4440.00	0.59585
pt61	pt95	4969.00	0.59112
pt62	pt63	7406.00	0.33680
pt62	pt64	4567.00	0.56442
pt62	pt65	11752.00	0.52606
pt62	pt66	10826.00	0.56340
pt62	pt67	12071.00	0.51134
pt62	pt68	7085.00	0.33579
pt62	pt69	4559.00	0.56551
pt62	pt70	7055.00	0.34116
pt62	pt71	12038.00	0.58270
pt62	pt72	6875.00	0.35165
pt62	pt73	10923.00	0.57284
pt62	pt74	4567.00	0.56606
pt62	pt75	4577.00	0.56435
pt62	pt76	4557.00	0.56599
pt62	pt77	7262.00	0.42783
pt62	pt78	12066.00	0.51068
pt62	pt79	4570.00	0.56402
pt62	pt80	7031.00	0.33059
pt62	pt81	11820.00	0.57006
pt62	pt82	6722.00	0.32055
pt62	pt83	7517.00	0.35007
pt62	pt84	6982.00	0.33243
pt62	pt85	7127.00	0.33580
pt62	pt86	6936.00	0.39436
pt62	pt87	4612.00	0.57721
pt62	pt88	6971.00	0.39419
pt62	pt90	7411.00	0.37125
pt62	pt91	12181.00	0.58659
pt62	pt92	10866.00	0.58221
pt62	pt93	11843.00	0.53902
pt62	pt94	6613.00	0.38190
pt62	pt95	6963.00	0.37098
pt63	pt64	4899.00	0.56491
pt63	pt65	12114.00	0.52253
pt63	pt66	11129.00	0.56265
pt63	pt67	12353.00	0.51270
pt63	pt68	7735.00	0.34651
pt63	pt69	4887.00	0.56565
pt63	pt70	7765.00	0.34568
pt63	pt71	12357.00	0.58450
pt63	pt72	7404.00	0.34993
pt63	pt73	11088.00	0.57591
pt63	pt74	4896.00	0.56635
pt63	pt75	4902.00	0.56475
pt63	pt76	4883.00	0.56670
pt63	pt77	7961.00	0.44321
pt63	pt78	12352.00	0.51183
pt63	pt79	4899.00	0.56478
pt63	pt80	7798.00	0.33099
pt63	pt81	11994.00	0.57351
pt63	pt82	7369.00	0.33433
pt63	pt83	804.00	0.09459
pt63	pt84	7662.00	0.33838
pt63	pt85	7793.00	0.34478
pt63	pt86	7161.00	0.39744
pt63	pt87	5030.00	0.57447
pt63	pt88	7579.00	0.40549
pt63	pt90	3.00	0.07935
pt63	pt91	12321.00	0.59601
pt63	pt92	11161.00	0.58239
pt63	pt93	12069.00	0.54068
pt63	pt94	7278.00	0.39434
pt63	pt95	7383.00	0.37021
pt64	pt65	8899.00	0.55483
pt64	pt66	9031.00	0.47804
pt64	pt67	8986.00	0.55066
pt64	pt68	4739.00	0.57197
pt64	pt69	4.00	0.01990
pt64	pt70	4787.00	0.57193
pt64	pt71	10455.00	0.54770
pt64	pt72	4770.00	0.58140
pt64	pt73	9117.00	0.48872
pt64	pt74	3.00	0.02244
pt64	pt75	6.00	0.01504
pt64	pt76	6.00	0.01351
pt64	pt77	56.00	0.28626
pt64	pt78	8989.00	0.55038
pt64	pt79	2.00	0.01261
pt64	pt80	4762.00	0.56384
pt64	pt81	9971.00	0.54469
pt64	pt82	4518.00	0.56749
pt64	pt83	5086.00	0.57483
pt64	pt84	4674.00	0.56853
pt64	pt85	4742.00	0.57175
pt64	pt86	4693.00	0.59879
pt64	pt87	324.00	0.10928
pt64	pt88	4689.00	0.60354
pt64	pt90	4899.00	0.58494
pt64	pt91	10439.00	0.56134
pt64	pt92	9087.00	0.50529
pt64	pt93	8891.00	0.57193
pt64	pt94	4435.00	0.59848
pt64	pt95	4966.00	0.59364
pt65	pt66	12955.00	0.54658
pt65	pt67	12335.00	0.44672
pt65	pt68	11937.00	0.53481
pt65	pt69	8881.00	0.55703
pt65	pt70	11976.00	0.53452
pt65	pt71	13906.00	0.57593
pt65	pt72	12012.00	0.53121
pt65	pt73	12973.00	0.55652
pt65	pt74	8889.00	0.55763
pt65	pt75	8899.00	0.55521
pt65	pt76	8871.00	0.55548
pt65	pt77	13052.00	0.54075
pt65	pt78	12332.00	0.44706
pt65	pt79	8895.00	0.55462
pt65	pt80	11987.00	0.52426
pt65	pt81	12398.00	0.50889
pt65	pt82	11972.00	0.52419
pt65	pt83	12214.00	0.52902
pt65	pt84	11945.00	0.52482
pt65	pt85	12012.00	0.53208
pt65	pt86	11733.00	0.56449
pt65	pt87	8962.00	0.57045
pt65	pt88	11932.00	0.56164
pt65	pt90	12114.00	0.54583
pt65	pt91	13902.00	0.58880
pt65	pt92	13036.00	0.56848
pt65	pt93	1124.00	0.12248
pt65	pt94	11556.00	0.56005
pt65	pt95	12070.00	0.54900
pt66	pt67	13240.00	0.54161
pt66	pt68	10849.00	0.57184
pt66	pt69	9018.00	0.47988
pt66	pt70	10844.00	0.57165
pt66	pt71	13805.00	0.54188
pt66	pt72	10733.00	0.58001
pt66	pt73	538.00	0.08452
pt66	pt74	9030.00	0.48054
pt66	pt75	9037.00	0.47833
pt66	pt76	9016.00	0.47979
pt66	pt77	12097.00	0.51873
pt66	pt78	13244.00	0.54103
pt66	pt79	9028.00	0.47796
pt66	pt80	10821.00	0.56884
pt66	pt81	13347.00	0.52652
pt66	pt82	10886.00	0.56286
pt66	pt83	11190.00	0.57686
pt66	pt84	10759.00	0.57228
pt66	pt85	10884.00	0.56901
pt66	pt86	10766.00	0.59922
pt66	pt87	9076.00	0.48796
pt66	pt88	10857.00	0.60222
pt66	pt90	11133.00	0.58146
pt66	pt91	13739.00	0.55379
pt66	pt92	452.00	0.09629
pt66	pt93	12967.00	0.55951
pt66	pt94	10665.00	0.59496
pt66	pt95	10786.00	0.59441
pt67	pt68	12277.00	0.51977
pt67	pt69	8971.00	0.55306
pt67	pt70	12297.00	0.51998
pt67	pt71	14134.00	0.56503
pt67	pt72	12152.00	0.52958
pt67	pt73	13223.00	0.55460
pt67	pt74	8980.00	0.55379
pt67	pt75	8992.00	0.55111
pt67	pt76	8962.00	0.55066
pt67	pt77	13341.00	0.53427
pt67	pt78	2.00	0.01302
pt67	pt79	8984.00	0.55031
pt67	pt80	12324.00	0.51431
pt67	pt81	13468.00	0.52052
pt67	pt82	12296.00	0.51490
pt67	pt83	12369.00	0.52620
pt67	pt84	12229.00	0.52020
pt67	pt85	12312.00	0.51647
pt67	pt86	12105.00	0.55484
pt67	pt87	9127.00	0.56432
pt67	pt88	12275.00	0.55775
pt67	pt90	12344.00	0.53747
pt67	pt91	14128.00	0.57926
pt67	pt92	13251.00	0.56558
pt67	pt93	12260.00	0.47362
pt67	pt94	12003.00	0.55375
pt67	pt95	12197.00	0.54764
pt68	pt69	4726.00	0.57264
pt68	pt70	387.00	0.07005
pt68	pt71	12004.00	0.59468
pt68	pt72	6917.00	0.33043
pt68	pt73	11037.00	0.57263
pt68	pt74	4743.00	0.57305
pt68	pt75	4745.00	0.57183
pt68	pt76	4727.00	0.57415
pt68	pt77	7715.00	0.44678
pt68	pt78	12276.00	0.51874
pt68	pt79	4735.00	0.57185
pt68	pt80	955.00	0.07682
pt68	pt81	12089.00	0.56782
pt68	pt82	7058.00	0.33869
pt68	pt83	7780.00	0.36571
pt68	pt84	899.00	0.07949
pt68	pt85	428.00	0.06177
pt68	pt86	6723.00	0.36799
pt68	pt87	4901.00	0.58025
pt68	pt88	7096.00	0.36869
pt68	pt90	7740.00	0.37803
pt68	pt91	12073.00	0.60103
pt68	pt92	10904.00	0.58940
pt68	pt93	11989.00	0.54655
pt68	pt94	6873.00	0.38449
pt68	pt95	6764.00	0.36995
pt69	pt70	4773.00	0.57201
pt69	pt71	10427.00	0.54809
pt69	pt72	4763.00	0.58133
pt69	pt73	9098.00	0.48850
pt69	pt74	6.00	0.02550
pt69	pt75	7.00	0.02043
pt69	pt76	9.00	0.02035
pt69	pt77	56.00	0.28906
pt69	pt78	8973.00	0.55172
pt69	pt79	6.00	0.01884
pt69	pt80	4745.00	0.56560
pt69	pt81	9959.00	0.54530
pt69	pt82	4511.00	0.56849
pt69	pt83	5075.00	0.57645
pt69	pt84	4658.00	0.57061
pt69	pt85	4730.00	0.57418
pt69	pt86	4683.00	0.59610
pt69	pt87	327.00	0.10689
pt69	pt88	4681.00	0.60131
pt69	pt90	4894.00	0.58218
pt69	pt91	10412.00	0.55934
pt69	pt92	9073.00	0.50290
pt69	pt93	8875.00	0.56980
pt69	pt94	4430.00	0.59603
pt69	pt95	4961.00	0.59137
pt70	pt71	12096.00	0.59272
pt70	pt72	6795.00	0.34376
pt70	pt73	10835.00	0.58240
pt70	pt74	4789.00	0.57266
pt70	pt75	4792.00	0.57162
pt70	pt76	4776.00	0.57405
pt70	pt77	7701.00	0.45029
pt70	pt78	12293.00	0.51881
pt70	pt79	4785.00	0.57177
pt70	pt80	1009.00	0.07581
pt70	pt81	11979.00	0.57582
pt70	pt82	7149.00	0.33580
pt70	pt83	7863.00	0.36350
pt70	pt84	899.00	0.08531
pt70	pt85	429.00	0.06603
pt70	pt86	6718.00	0.37875
pt70	pt87	4927.00	0.57948
pt70	pt88	6985.00	0.37699
pt70	pt90	7763.00	0.37686
pt70	pt91	12007.00	0.60403
pt70	pt92	10887.00	0.58945
pt70	pt93	11954.00	0.54931
pt70	pt94	6807.00	0.38836
pt70	pt95	6838.00	0.36726
pt71	pt72	12106.00	0.60149
pt71	pt73	13768.00	0.55571
pt71	pt74	10455.00	0.54895
pt71	pt75	10452.00	0.54740
pt71	pt76	10430.00	0.54943
pt71	pt77	13905.00	0.56786
pt71	pt78	14149.00	0.56407
pt71	pt79	10449.00	0.54737
pt71	pt80	12058.00	0.58996
pt71	pt81	14142.00	0.56893
pt71	pt82	12123.00	0.58045
pt71	pt83	12407.00	0.59901
pt71	pt84	11947.00	0.59645
pt71	pt85	12042.00	0.59502
pt71	pt86	11928.00	0.61844
pt71	pt87	10610.00	0.55760
pt71	pt88	12087.00	0.62054
pt71	pt90	12359.00	0.60158
pt71	pt91	651.00	0.09714
pt71	pt92	13838.00	0.56075
pt71	pt93	13852.00	0.59001
pt71	pt94	11757.00	0.62066
pt71	pt95	12177.00	0.61312
pt72	pt73	10910.00	0.58025
pt72	pt74	4777.00	0.58181
pt72	pt75	4781.00	0.58086
pt72	pt76	4763.00	0.58376
pt72	pt77	7656.00	0.46040
pt72	pt78	12156.00	0.52817
pt72	pt79	4770.00	0.58129
pt72	pt80	6760.00	0.33432
pt72	pt81	12055.00	0.57829
pt72	pt82	7172.00	0.34851
pt72	pt83	7522.00	0.35436
pt72	pt84	6668.00	0.33518
pt72	pt85	6811.00	0.34442
pt72	pt86	6904.00	0.38152
pt72	pt87	4856.00	0.58832
pt72	pt88	7198.00	0.38251
pt72	pt90	7405.00	0.37950
pt72	pt91	12087.00	0.61039
pt72	pt92	10813.00	0.59507
pt72	pt93	12007.00	0.54490
pt72	pt94	6675.00	0.38953
pt72	pt95	277.00	0.11180
pt73	pt74	9112.00	0.48991
pt73	pt75	9121.00	0.48855
pt73	pt76	9099.00	0.49067
pt73	pt77	12160.00	0.52843
pt73	pt78	13227.00	0.55325
pt73	pt79	9114.00	0.48845
pt73	pt80	10779.00	0.57973
pt73	pt81	13705.00	0.51770
pt73	pt82	10849.00	0.57611
pt73	pt83	11246.00	0.58530
pt73	pt84	10761.00	0.58061
pt73	pt85	10857.00	0.57846
pt73	pt86	10941.00	0.59655
pt73	pt87	9135.00	0.50348
pt73	pt88	11100.00	0.59313
pt73	pt90	11091.00	0.59200
pt73	pt91	13891.00	0.55908
pt73	pt92	585.00	0.13744
pt73	pt93	13094.00	0.55805
pt73	pt94	10664.00	0.60057
pt73	pt95	10869.00	0.59949
pt74	pt75	7.00	0.02274
pt74	pt76	7.00	0.02469
pt74	pt77	60.00	0.29009
pt74	pt78	8986.00	0.55247
pt74	pt79	3.00	0.02172
pt74	pt80	4761.00	0.56635
pt74	pt81	9976.00	0.54650
pt74	pt82	4512.00	0.56950
pt74	pt83	5081.00	0.57712
pt74	pt84	4671.00	0.57135
pt74	pt85	4739.00	0.57500
pt74	pt86	4712.00	0.59602
pt74	pt87	332.00	0.10810
pt74	pt88	4700.00	0.60153
pt74	pt90	4901.00	0.58241
pt74	pt91	10437.00	0.55957
pt74	pt92	9090.00	0.50305
pt74	pt93	8890.00	0.57007
pt74	pt94	4443.00	0.59618
pt74	pt95	4969.00	0.59156
pt75	pt76	10.00	0.01590
pt75	pt77	69.00	0.28644
pt75	pt78	8992.00	0.55044
pt75	pt79	7.00	0.01423
pt75	pt80	4770.00	0.56404
pt75	pt81	9981.00	0.54468
pt75	pt82	4517.00	0.56763
pt75	pt83	5084.00	0.57501
pt75	pt84	4678.00	0.56897
pt75	pt85	4749.00	0.57237
pt75	pt86	4705.00	0.59743
pt75	pt87	331.00	0.10706
pt75	pt88	4691.00	0.60236
pt75	pt90	4902.00	0.58343
pt75	pt91	10438.00	0.56008
pt75	pt92	9094.00	0.50390
pt75	pt93	8898.00	0.57064
pt75	pt94	4445.00	0.59725
pt75	pt95	4975.00	0.59233
pt76	pt77	60.00	0.28716
pt76	pt78	8965.00	0.55156
pt76	pt79	7.00	0.01206
pt76	pt80	4750.00	0.56461
pt76	pt81	9953.00	0.54588
pt76	pt82	4508.00	0.56847
pt76	pt83	5069.00	0.57565
pt76	pt84	4663.00	0.56881
pt76	pt85	4734.00	0.57112
pt76	pt86	4682.00	0.60261
pt76	pt87	332.00	0.11428
pt76	pt88	4674.00	0.60716
pt76	pt90	4881.00	0.58871
pt76	pt91	10414.00	0.56503
pt76	pt92	9071.00	0.50914
pt76	pt93	8864.00	0.57554
pt76	pt94	4418.00	0.60238
pt76	pt95	4954.00	0.59728
pt77	pt78	13339.00	0.53378
pt77	pt79	57.00	0.28568
pt77	pt80	7709.00	0.44238
pt77	pt81	13658.00	0.55511
pt77	pt82	7280.00	0.44057
pt77	pt83	8155.00	0.45674
pt77	pt84	7642.00	0.44534
pt77	pt85	7744.00	0.44566
pt77	pt86	7485.00	0.48569
pt77	pt87	440.00	0.33705
pt77	pt88	7523.00	0.48701
pt77	pt90	7966.00	0.46634
pt77	pt91	13961.00	0.57527
pt77	pt92	12163.00	0.53794
pt77	pt93	13103.00	0.55227
pt77	pt94	7087.00	0.47893
pt77	pt95	7841.00	0.47486
pt78	pt79	8983.00	0.55012
pt78	pt80	12319.00	0.51444
pt78	pt81	13467.00	0.51994
pt78	pt82	12301.00	0.51467
pt78	pt83	12367.00	0.52609
pt78	pt84	12226.00	0.52049
pt78	pt85	12312.00	0.51745
pt78	pt86	12112.00	0.55218
pt78	pt87	9130.00	0.56184
pt78	pt88	12271.00	0.55540
pt78	pt90	12347.00	0.53499
pt78	pt91	14142.00	0.57692
pt78	pt92	13255.00	0.56315
pt78	pt93	12260.00	0.47114
pt78	pt94	11999.00	0.55120
pt78	pt95	12195.00	0.54522
pt79	pt80	4764.00	0.56356
pt79	pt81	9981.00	0.54445
pt79	pt82	4512.00	0.56717
pt79	pt83	5080.00	0.57457
pt79	pt84	4679.00	0.56812
pt79	pt85	4741.00	0.57142
pt79	pt86	4688.00	0.59897
pt79	pt87	328.00	0.10913
pt79	pt88	4688.00	0.60360
pt79	pt90	4894.00	0.58507
pt79	pt91	10431.00	0.56151
pt79	pt92	9087.00	0.50544
pt79	pt93	8888.00	0.57190
pt79	pt94	4432.00	0.59879
pt79	pt95	4963.00	0.59380
pt80	pt81	11838.00	0.57149
pt80	pt82	7048.00	0.32426
pt80	pt83	7775.00	0.35309
pt80	pt84	229.00	0.03784
pt80	pt85	996.00	0.07089
pt80	pt86	6596.00	0.37621
pt80	pt87	4872.00	0.57840
pt80	pt88	6881.00	0.37519
pt80	pt90	7792.00	0.36818
pt80	pt91	12021.00	0.60293
pt80	pt92	10841.00	0.59062
pt80	pt93	11949.00	0.54529
pt80	pt94	6763.00	0.38209
pt80	pt95	6754.00	0.36380
pt81	pt82	11821.00	0.57434
pt81	pt83	12179.00	0.58104
pt81	pt84	11810.00	0.57403
pt81	pt85	11991.00	0.57379
pt81	pt86	11879.00	0.59742
pt81	pt87	9953.00	0.55808
pt81	pt88	12180.00	0.59514
pt81	pt90	11996.00	0.59163
pt81	pt91	14291.00	0.57571
pt81	pt92	13394.00	0.54599
pt81	pt93	12579.00	0.51591
pt81	pt94	11527.00	0.60271
pt81	pt95	11958.00	0.59835
pt82	pt83	7460.00	0.35776
pt82	pt84	6929.00	0.33024
pt82	pt85	7109.00	0.33522
pt82	pt86	6825.00	0.38164
pt82	pt87	4661.00	0.57915
pt82	pt88	7095.00	0.39151
pt82	pt90	7374.00	0.37051
pt82	pt91	12007.00	0.59796
pt82	pt92	10909.00	0.58320
pt82	pt93	11943.00	0.54332
pt82	pt94	6947.00	0.38521
pt82	pt95	7212.00	0.37489
pt83	pt84	7667.00	0.35403
pt83	pt85	7868.00	0.36038
pt83	pt86	7226.00	0.41089
pt83	pt87	5026.00	0.59062
pt83	pt88	7722.00	0.40840
pt83	pt90	806.00	0.15172
pt83	pt91	12378.00	0.61008
pt83	pt92	11264.00	0.59602
pt83	pt93	12209.00	0.54709
pt83	pt94	7280.00	0.40960
pt83	pt95	7633.00	0.36889
pt84	pt85	912.00	0.07151
pt84	pt86	6572.00	0.37386
pt84	pt87	4763.00	0.58386
pt84	pt88	6779.00	0.37623
pt84	pt90	7659.00	0.37618
pt84	pt91	11956.00	0.60621
pt84	pt92	10786.00	0.59408
pt84	pt93	11959.00	0.54303
pt84	pt94	6828.00	0.37301
pt84	pt95	6665.00	0.36533
pt85	pt86	6653.00	0.38725
pt85	pt87	4875.00	0.58524
pt85	pt88	6922.00	0.38433
pt85	pt90	7791.00	0.38266
pt85	pt91	12018.00	0.60474
pt85	pt92	10928.00	0.59125
pt85	pt93	12024.00	0.54953
pt85	pt94	6878.00	0.39063
pt85	pt95	6829.00	0.37399
pt86	pt87	4834.00	0.58712
pt86	pt88	6626.00	0.38259
pt86	pt90	7184.00	0.40006
pt86	pt91	11825.00	0.61850
pt86	pt92	10889.00	0.59714
pt86	pt93	11767.00	0.55983
pt86	pt94	6687.00	0.39272
pt86	pt95	6829.00	0.39294
pt87	pt88	4779.00	0.59609
pt87	pt90	5055.00	0.57329
pt87	pt91	10592.00	0.55460
pt87	pt92	9136.00	0.49426
pt87	pt93	8955.00	0.56704
pt87	pt94	4601.00	0.58766
pt87	pt95	4864.00	0.58845
pt88	pt90	7593.00	0.41224
pt88	pt91	12118.00	0.61751
pt88	pt92	11005.00	0.60180
pt88	pt93	12067.00	0.55438
pt88	pt94	5797.00	0.37892
pt88	pt95	7192.00	0.39595
pt90	pt91	12341.00	0.59770
pt90	pt92	11201.00	0.58245
pt90	pt93	12102.00	0.54337
pt90	pt94	7295.00	0.39943
pt90	pt95	7399.00	0.37857
pt91	pt92	13785.00	0.55780
pt91	pt93	14018.00	0.57950
pt91	pt94	11830.00	0.61324
pt91	pt95	12136.00	0.61064
pt92	pt93	13083.00	0.56074
pt92	pt94	10752.00	0.59575
pt92	pt95	10910.00	0.59496
pt93	pt94	11658.00	0.55401
pt93	pt95	12109.00	0.54635
pt94	pt95	6666.00	0.39513
